,date,n_applicants,n_chances,size,winning_chances
151,2017-04-20,36,141,Small Size,5
152,2017-04-20,152,571,Standard Size,1
153,2017-04-22,43,161,Small Size,2
154,2017-04-24,54,162,Small Size,2
155,2017-04-25,174,729,Standard Size,5
156,2017-04-26,65,190,Small Size,1
157,2017-04-26,162,643,Standard Size,5
158,2017-04-27,159,642,Standard Size,4
159,2017-04-28,62,205,Small Size,4
160,2017-04-28,131,512,Standard Size,5
161,2017-04-29,136,536,Standard Size,5
162,2017-04-30,61,201,Small Size,1
163,2017-04-30,118,425,Standard Size,5
164,2017-05-01,143,588,Standard Size,5
165,2017-05-02,49,158,Small Size,5
166,2017-05-02,85,347,Standard Size,5
167,2017-05-03,73,283,Standard Size,5
168,2017-05-04,39,142,Small Size,5
169,2017-05-04,52,207,Standard Size,3
170,2017-05-05,50,179,Standard Size,5
171,2017-05-06,28,92,Small Size,5
172,2017-05-06,54,193,Standard Size,3
173,2017-05-07,54,196,Standard Size,2
174,2017-05-08,55,171,Small Size,5
175,2017-05-08,93,368,Standard Size,5
176,2017-05-09,75,282,Standard Size,5
177,2017-05-10,46,137,Small Size,5
178,2017-05-10,89,342,Standard Size,1
179,2017-05-11,53,218,Standard Size,2
180,2017-05-12,24,88,Small Size,5
181,2017-05-12,65,261,Standard Size,5
182,2017-05-13,59,256,Standard Size,5
183,2017-05-14,28,96,Small Size,5
184,2017-05-14,88,332,Standard Size,5
185,2017-05-15,114,437,Standard Size,5
186,2017-05-16,37,134,Small Size,5
187,2017-05-16,107,418,Standard Size,5
188,2017-05-17,130,486,Standard Size,5
189,2017-05-18,26,88,Small Size,5
190,2017-05-18,98,373,Standard Size,2
191,2017-05-19,118,466,Standard Size,3
192,2017-05-20,26,76,Small Size,2
193,2017-05-20,123,474,Standard Size,5
194,2017-05-21,130,495,Standard Size,5
195,2017-05-22,36,122,Small Size,5
196,2017-05-22,127,470,Standard Size,5
197,2017-05-23,124,471,Standard Size,3
198,2017-05-24,37,105,Small Size,5
199,2017-05-24,122,452,Standard Size,4
200,2017-05-25,99,384,Standard Size,14
201,2017-05-26,44,134,Small Size,5
202,2017-05-27,129,494,Standard Size,5
203,2017-05-28,37,123,Small Size,3
204,2017-05-30,49,171,Small Size,4
205,2017-05-30,131,537,Standard Size,5
206,2017-05-31,129,540,Standard Size,15
207,2017-06-01,166,699,Standard Size,5
208,2017-06-02,126,537,Standard Size,5
209,2017-06-03,61,230,Small Size,1
210,2017-06-04,151,602,Standard Size,12
211,2017-06-05,69,251,Small Size,5
212,2017-06-06,177,642,Standard Size,5
213,2017-06-07,50,180,Small Size,5
214,2017-06-07,137,519,Standard Size,5
215,2017-06-08,110,432,Standard Size,2
216,2017-06-09,48,158,Small Size,5
217,2017-06-10,114,449,Standard Size,1
218,2017-06-11,47,177,Small Size,11
219,2017-06-11,147,575,Standard Size,5
220,2017-06-13,35,126,Small Size,1
221,2017-06-13,152,654,Standard Size,2
222,2017-06-14,137,630,Standard Size,13
223,2017-06-15,31,121,Small Size,3
224,2017-06-16,125,647,Standard Size,5
225,2017-06-17,30,122,Small Size,5
226,2017-06-17,136,639,Standard Size,5
227,2017-06-18,170,788,Standard Size,4
228,2017-06-19,29,113,Small Size,5
229,2017-06-19,182,804,Standard Size,5
230,2017-06-20,170,729,Standard Size,5
231,2017-06-21,21,60,Small Size,5
232,2017-06-22,133,624,Standard Size,5
233,2017-06-23,20,71,Small Size,4
234,2017-06-24,155,696,Standard Size,39
235,2017-06-25,18,53,Small Size,5
236,2017-06-27,27,84,Small Size,2
237,2017-06-27,177,832,Standard Size,3
238,2017-06-28,147,708,Standard Size,12
239,2017-06-29,24,69,Small Size,5
240,2017-06-29,111,539,Standard Size,37
241,2017-06-30,110,523,Standard Size,9
242,2017-07-01,30,107,Small Size,1
243,2017-07-01,118,560,Standard Size,5
244,2017-07-03,26,92,Small Size,5
245,2017-07-03,137,610,Standard Size,5
246,2017-07-04,89,404,Standard Size,5
247,2017-07-05,18,67,Small Size,5
248,2017-07-05,88,400,Standard Size,11
249,2017-07-06,91,429,Standard Size,5
250,2017-07-07,19,74,Small Size,5
251,2017-07-07,83,378,Standard Size,10
252,2017-07-08,60,249,Standard Size,5
253,2017-07-09,16,58,Small Size,1
